StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attn_1,attn_2,attn_3,attn_4,attn_5,attn_6,attn_7,attn_8,attn_9,attn_10,attn_11,attn_12,attn_13,attn_14,attn_15,attn_16,attn_17,attn_18,attn_19,attn_20,attn_21,quiz1,sa_att,stem_att,isis_att,blm_att,sincerity1,persuade1,learn1,open1,future_work1,sincerity2,persuade2,learn2,open2,future_work2,gender,gender_4_TEXT,age,political,blm_pos,sa_pos,isis_pos,stem_pos,responseTextID1,issue,issuetext,seedtext,message1,responseTextID2,message2,Text1_DVs_DO_future_work1,Text1_DVs_DO_sincerity1,Text1_DVs_DO_persuade1,Text1_DVs_DO_open1,Text1_DVs_DO_Q143,Text1_DVs_DO_Q144,Text1_DVs_DO_Q145,Text1_DVs_DO_learn1,Text2_DVs_DO_Q404,Text2_DVs_DO_Q405,Text2_DVs_DO_open2,Text2_DVs_DO_Q406,Text2_DVs_DO_future_work2,Text2_DVs_DO_sincerity2,Text2_DVs_DO_learn2,Text2_DVs_DO_persuade2
23/11/2022 10:35,23/11/2022 10:44,0,76.27.229.12,100,502,1,23/11/2022 10:44,R_3F2pd2evAoihBUw,NA,NA,NA,NA,44.6554,-123.135,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,6,4,1,5,5,5,4,4,6,1,2,1,1,2,NA,53,2,1,5,4,6,R_1kReCBxeg6sGQXL_1,blm,The public reaction to recent confrontations between police and minority crime suspects has been overblown.,"The public reaction has not been overblown, if anything it is severely muted.  Recent confrontations are simply making visible issues that have existed for a very long time. Lynchings and killings of minorities have happened throughout American history. However, now we have proof in real time through cell phone videos and Facebook Live. There are real issues between police and the communities they serve that are only being addressed because of the attention being paid through Black Lives Matter and other protests. This is how things improve, even if it is hard and difficult to discuss.",The public show the correct reaction to this issue. Their reaction are not overblown. Now things are improving and it should be improved. thousands of minorities lost their life without doing something wrong.now they shows their reaction and its right to show.,R_erIp82Dk62EbAHv_1,"It is true that killings of minorities have happened throughout American History, but it is not currently an issue today. There have been a few cases of cops not handling minorities correctly, but there are also cases of cops not handling whites correctly as well. With all the cops and arrests and stops made throughout the country, there are only a small handful of questionable actions by police. If it was a more widespread issue, we would see a lot more videos uploaded to social media.",6,7,4,8,1,2,3,5,1,2,7,3,6,4,8,5
23/11/2022 10:42,23/11/2022 10:52,0,71.64.0.163,100,568,1,23/11/2022 10:52,R_1ouqyr5hg4MJOKP,NA,NA,NA,NA,41.2779,-84.3578,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,4,3,3,6,6,4,1,1,4,4,1,2,NA,35,3,4,2,2,2,R_3lKYv939YZBLRWn_1,stem,"In order to increase the representation of women in math, sciences and engineering, female graduates with relevant degrees should be given priority in hiring decisions over men.","While I am supportive of an increase in representation of women in math, sciences, and engineering, I do not believe the best method of achieving this is to give blanket priority to female graduates over male graduates. There is no doubt that women have historically been under-represented in fields such as math and engineering, however by giving women graduates a priority over men simply because of the fact they are women could lead to less-talented candidates entering the field. I believe a better method would be to simply look at the resume/qualifications of the candidate and choose based off of who is more qualified, therefore leading to a ""blind"" and more objective hiring process.","I also agree that a ""blind"" hiring practice is how I would like to see companies making their choices. We should not have to consider gender or race when it comes to hiring. I do feel like equity needs to be pushed though. If we see a company is leaning heavily on white male employees then they need to make some more equitable hires.",R_yKBFo4laa4d5C13_2,"I agree that qualified men might be overlooked if women are given an advantage and I would agree if it could actually be ""blind"" meaning that there is no indication of the sex of the candidate. I would then truly believe the best candidate was offered the job. Otherwise, there are implicit biases that people have when hiring women and they need to be addressed.",8,6,5,4,1,2,3,7,1,2,5,3,8,7,4,6
23/11/2022 10:52,23/11/2022 10:56,0,66.177.184.180,100,239,1,23/11/2022 10:56,R_veKHxqA0Y2cXPgJ,NA,NA,NA,NA,30.2851,-81.8217,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,1,1,7,1,7,7,4,7,1,4,4,4,1,NA,25,1,1,2,1,3,R_1eDcBttQ7hmkJ8D_2,stem,"In order to increase the representation of women in math, sciences and engineering, female graduates with relevant degrees should be given priority in hiring decisions over men.","The whole point of feminism is so that both women, men, and any other genders are treated as equals. Giving a competitive edge to women for hiring that is not based on job qualifications and skills seems counter productive to the whole point of feminism. Do I think there's a huge lack of women in STEM? Yes. Is there very likely sexism going on during hiring as it stands now? Oh yeah, definitely. I just don't ideologically agree with blanket boosting a woman's chance at hiring for simply being a women. Something like requiring a gender balance on the hiring committee like half male half female so the candidate receives a relatively more fair and balanced interview.","You have answered the question and undermined your point with your own words. There is a massive under-representation of women in stem, and these kinds of policies are specifically to boost hiring women to improve the fields for those women and future women. It remains clear from levels of women in STEM fields that we cannot trust the organizations to move beyond the old boy's club. And how many women still have to deal with massive sexism in the field if they even get hired? Give women priority in getting hired, and in promotions, and they can work to smooth out changes and shift away from policies like hiring priorities.",R_1HhFDRxYceu50K7_1,"Giving female candidates an advantage is not giving them an advantage over men, it is bringing them up to the same level. Many, many unqualified men get jobs in STEM due to connections or nepotism. Most women who succeed in STEM had to work incredibly hard to stick with it- I would argue most female candidates are more than qualified in their careers.",5,8,4,7,1,2,3,6,1,2,6,3,5,7,8,4
23/11/2022 10:51,23/11/2022 10:59,0,75.137.0.140,100,518,1,23/11/2022 10:59,R_31FRmqSRQQ80uhB,NA,NA,NA,NA,34.0014,-84.0144,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,6,7,1,1,1,1,1,1,6,1,1,1,1,1,NA,65,1,1,5,7,6,R_2QXS1UPh3ZT9xe7_2,stem,"In order to increase the representation of women in math, sciences and engineering, female graduates with relevant degrees should be given priority in hiring decisions over men.",I believe increasing representation of a majority of the population is imperative. One way is to decrease barriers of systemic barriers such as cultural norms around gender identity. Furthermore this extends to compensation and fair obligations  of decency to all people. I believe creating a way to increase underrepresented populations to differing fields greatly increases the growth of that industry and the growth of the population it is serving.,"Why do you believe that the majority population group is under represented and to what specifically is changing this an imperative to? If you could help me understand the role of social acceptance of gender identity in the scope of preferential gender based hiring in STEM industries,  then I may be better able to respond to your position. Lastly, by what measure are you basing the population growth conclusions on?",R_2wFxk93Zihu1rWI_2,"I know there are going to be mixed feelings about this and I would love for you to hear my side too and tell me what you find wrong with it. I'm having a hard time understanding how it's ""fair"" if you are going to give priority to someone based on their gender. If the grades and the work ethic are there, then they should get the job. Someone shouldn't be given first pick for a job just because there is more of one gender over the other. We need the person that is going to be the best for that job, in that job.",6,7,5,4,1,2,3,8,1,2,6,3,4,5,7,8
23/11/2022 10:59,23/11/2022 10:59,0,174.64.53.131,100,19,1,23/11/2022 10:59,R_3MMPgeVnnh0taY9,NA,NA,NA,NA,38.8452,-77.4651,anonymous,EN,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/11/2022 10:58,23/11/2022 11:08,0,47.204.192.247,100,557,1,23/11/2022 11:08,R_3EWrEjsxS8pI9Wd,NA,NA,NA,NA,27.3269,-82.5433,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,7,3,7,1,6,7,5,5,6,6,4,4,4,5,1,NA,60,5,1,7,7,3,R_21nsTdukNVDHQYD_2,stem,"In order to increase the representation of women in math, sciences and engineering, female graduates with relevant degrees should be given priority in hiring decisions over men.","As a woman in STEM, my primary consideration is feeling that I have a fair shot at any position that a man has. I don't expect any preferential treatment or gender-based affirmative action policies to compensate for past gender discrimination in STEM, though. There's a perception in some workplaces with these policies that women were only hired to fill a quota, perpetuating the gender divide. I wouldn't want there to be any doubts about my suitability for the position due to my merit, rather than my gender. Of course, people who hire for STEM positions may have unconscious (or conscious) gender biases, but I think that having a diverse hiring panel would be a better policy than implementing gender quotas.","I would say something along the lines of, ""I can see your point, having a woman be hired over a man, due to past discrimination, would fuel the notion that women aren't as smart, and her hire would be diminished. I don't really know how we would get more women in the position to hire, if there's a preexisting gender gap in the higher ups, and potential bias, be that conscious or not."" I would then ask her how she thinks we should solve the potential bias when hiring.",R_3KOMNX6aAyxt8m0_1,"You raise a good point about the need for a diverse hiring panel. Even though this would help in getting more women hired into stem, ingherent bias may stlll be present both in male and female panel members that skews favor towards hiring men. For this reason, I feel a diverse hiring panel AND quotas towards hiring women into STEM are important.",6,4,5,7,1,2,3,8,1,2,8,3,6,5,4,7
23/11/2022 11:04,23/11/2022 11:14,0,172.127.48.202,100,571,1,23/11/2022 11:14,R_3fUwRJSEWi3q2GK,NA,NA,NA,NA,34.1078,-84.5026,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,4,2,6,6,6,7,6,7,5,7,6,6,1,NA,24,2,2,3,4,2,R_1N92l4QXNNHXUbx_2,blm,The public reaction to recent confrontations between police and minority crime suspects has been overblown.,I value human life and feel there is a right to dignity - to be able to live without fear of unreasonable search and seizure. Recent fatal interactions between police and citizens have shown a proclivity to self protection rather than preservation of all human life,"I agree that human life is to be valued. I think that these incidents have caused fear and distrust among citizens. We should work to make a change to protect our rights and not fear losing life when interacting with police,.",R_1LwzyEXSVWEi8nl_1,"That makes sense. However, self protection is also very important in these cases. If an officer feels threatened, he needs to protect himself. However, there definitely needs to be a middle ground for preserving life as well.",7,4,5,8,1,2,3,6,1,2,8,3,4,6,7,5
23/11/2022 11:07,23/11/2022 11:17,0,70.228.84.128,100,598,1,23/11/2022 11:17,R_1Hcu9sVFzq3eiCg,NA,NA,NA,NA,33.9883,-118.3294,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,7,7,5,3,1,4,4,3,6,6,6,6,7,2,NA,40,3,5,6,7,7,R_3iDWILsnVOeASbL_1,stem,"In order to increase the representation of women in math, sciences and engineering, female graduates with relevant degrees should be given priority in hiring decisions over men.","Historically, women have not had access to higher education, and for those women that do, sexism has oftentimes prohibited them from getting well-paid positions. Math, sciences, and engineering has historically been a male-dominated field. It has proved to be difficult for women to be in these environments, due to less female-friendly work environments and more stories of sexual assault. In addition, hiring decisions make it less likely that male-dominated spaces would hire a woman with similar credentials to a man. In order to increase representation and make these workplaces more equitable, women with relevant degrees should be given priority over men.","I certainly agree with you on this issue, that women have historically been discriminated against in the areas of mathematics, science and engineering, however I differ in the argument presented by you.  The rights of the people must be earned with effort and dedication, demonstrating with facts and results.  I do not agree with giving priority to women in hiring decisions for the simple fact of belonging to the female sex.  In conclusion, rights must be conquered with work and dedication without any preferences.",R_2sQQR1JwbKYq1bG_2,"I generally agree, as long as each candidate has at least equal qualifications and skills, it would usually be beneficial to hire the female candidate. Another part that is personally important to me is representation not only in the private sector, but in the academic world as well. In my own experience, representation in academics leads to more female students pursuing a major, which leads to more qualified candidates in the workforce.",8,5,7,6,1,2,3,4,1,2,6,3,7,5,8,4
23/11/2022 10:45,23/11/2022 11:21,0,81.161.4.13,100,2180,1,23/11/2022 11:21,R_PTlfSzPS7Y8hgkN,NA,NA,NA,NA,40.7662,-74.0178,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,4,4,6,7,6,6,6,6,6,6,6,6,1,NA,27,4,4,3,4,2,R_295NmDoAeFmFqPq_2,sa,"When a sexual assault accusation is made on a college campus, the alleged perpetrator should be immediately removed from campus to protect the well-being of the victim.","To immediately remove someone who has been accused of a crime is against their rights. You cannot place judgement until proof is given, an accusation alone is not enough and is unfair to all involved. It would be better for the accuser to remove themselves until it is proven to be true. If someone is accused of assault and then forcibly removed, and after that they are proven innocent, they definitely have a case to sue against the establishment.","I tend to agree with you. However, I think the accused should remove themselves for a brief time just so the accuser has time to think and rethink if they are right or wrong in their thinking. The law should not forcefully remove someone but suggest it to the accused. Otherwise, the accuser can feel frightened and not able to control their thoughts.",R_1Qz1jr9PJf2BjKk_1,"That doesn't mean they don't have to keep going, I think it's in best interest that they be removed until they get to the bottom of it. The worst that could happen is that it's a fake allegation and this person is just sent to online classes for a couple weeks. But if they aren't removed and it's true, the victim has to possibly see them and relive that trauma every day. You should always believe the victim in these cases.",5,7,8,4,1,2,3,6,1,2,6,3,8,5,7,4
23/11/2022 11:17,23/11/2022 11:28,0,104.4.27.156,100,607,1,23/11/2022 11:28,R_2w0uEil5sWpolbJ,NA,NA,NA,NA,33.6268,-117.8718,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
